id,ClipName,URL,Start_frame,End_frame,Light1,Light2,Hit_label
25,0001_002_11_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,205030.0,205105.0,2,2,1-0-0
26,0001_002_12_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,212832.0,212907.0,2,1,1-0-0
27,0001_002_12_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,221273.0,221348.0,2,2,0-0-1
28,0001_002_13_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,226773.0,226848.0,2,1,1-0-0
29,0001_002_13_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,228295.0,228370.0,2,2,0-0-1
30,0001_002_14_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,239976.0,240051.0,2,2,0-0-1
31,0001_002_14_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,243043.0,243118.0,2,2,1-0-0
32,0001_002_14_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,246212.0,246287.0,2,2,0-0-1
33,0001_002_14_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,248267.0,248342.0,2,2,0-0-1
34,0001_002_15_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,254501.0,254576.0,2,2,1-0-0
35,0001_002_15_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,255934.0,256009.0,2,2,1-0-0
36,0001_002_15_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,256574.0,256649.0,2,2,0-0-1
37,0001_002_15_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,257730.0,257805.0,2,2,1-0-0
38,0001_002_15_06_1,https://www.youtube.com/watch?v=uho2ldovj7o,261337.0,261412.0,2,2,1-0-0
39,0001_002_15_07_1,https://www.youtube.com/watch?v=uho2ldovj7o,262584.0,262659.0,2,2,1-0-0
40,0001_002_15_08_1,https://www.youtube.com/watch?v=uho2ldovj7o,263582.0,263657.0,2,2,1-0-0
41,0001_002_16_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,266794.0,266869.0,2,2,1-0-0
42,0001_002_16_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,268672.0,268747.0,2,2,0-0-1
43,0001_002_16_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,268939.0,269014.0,2,2,1-0-0
44,0001_002_17_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,292594.0,292669.0,2,2,1-0-0
45,0001_002_18_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,301795.0,301870.0,2,2,0-1-0
46,0001_002_18_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,307275.0,307350.0,1,2,0-0-1
47,0001_002_19_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,316191.0,316266.0,2,2,1-0-0
48,0001_002_19_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,317577.0,317652.0,2,2,1-0-0
49,0001_002_19_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,319072.0,319147.0,2,2,1-0-0
50,0001_002_19_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,319707.0,319782.0,2,2,1-0-0
51,0001_002_20_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,327089.0,327164.0,2,1,1-0-0
52,0001_002_20_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,330587.0,330662.0,2,2,0-0-1
53,0001_002_21_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,335585.0,335660.0,2,2,0-0-1
54,0001_002_21_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,335997.0,336072.0,2,2,1-0-0
55,0001_002_21_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,338569.0,338644.0,2,2,0-0-1
56,0001_002_21_05_1,https://www.youtube.com/watch?v=uho2ldovj7o,342792.0,342867.0,2,2,0-0-1
57,0001_002_22_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,348244.0,348319.0,2,2,1-0-0
58,0001_002_22_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,351645.0,351720.0,2,2,0-0-1
59,0001_002_23_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,361601.0,361676.0,2,1,1-0-0
60,0001_002_23_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,362009.0,362084.0,2,2,1-0-0
61,0001_002_23_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,364576.0,364651.0,2,2,0-0-1
62,0001_002_24_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,373674.0,373749.0,2,2,1-0-0
63,0001_002_24_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,375350.0,375425.0,2,2,0-0-1
64,0001_002_24_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,376469.0,376544.0,2,2,1-0-0
65,0001_002_24_05_1,https://www.youtube.com/watch?v=uho2ldovj7o,378049.0,378124.0,2,2,0-0-1
66,0001_002_24_06_1,https://www.youtube.com/watch?v=uho2ldovj7o,379687.0,379762.0,2,2,1-0-0
67,0001_002_25_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,440473.0,440548.0,2,2,0-0-1
68,0001_002_25_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,443161.0,443236.0,1,2,0-0-1
69,0001_002_26_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,450723.0,450798.0,2,2,1-0-0
70,0001_002_26_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,454738.0,454813.0,2,2,0-0-1
71,0001_002_26_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,456151.0,456226.0,2,2,1-0-0
72,0001_002_27_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,459426.0,459501.0,2,2,0-0-1
73,0001_002_27_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,462408.0,462483.0,1,2,0-0-1
74,0001_002_27_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,466193.0,466268.0,2,2,1-0-0
75,0001_002_28_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,472388.0,472463.0,2,2,0-0-1
76,0001_002_28_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,477068.0,477143.0,2,2,1-0-0
77,0001_002_28_05_1,https://www.youtube.com/watch?v=uho2ldovj7o,479656.0,479731.0,2,2,0-0-1
78,0001_002_29_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,481418.0,481493.0,2,2,1-0-0
79,0001_002_29_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,488791.0,488866.0,2,2,1-0-0
80,0001_002_30_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,495811.0,495886.0,2,2,1-0-0
81,0001_002_31_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,507008.0,507083.0,2,2,1-0-0
82,0001_002_31_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,510690.0,510765.0,2,2,1-0-0
83,0001_002_32_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,523780.0,523855.0,2,2,1-0-0
84,0001_002_32_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,531850.0,531925.0,2,2,1-0-0
85,0001_002_33_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,537499.0,537574.0,2,2,1-0-0
86,0001_002_33_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,537705.0,537780.0,2,2,0-0-1
87,0001_003_02_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,41717.0,41792.0,2,2,1-0-0
88,0001_003_02_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,46228.0,46303.0,2,2,1-0-0
89,0001_003_02_04_1,https://www.youtube.com/watch?v=Rni88PI1OBI,47006.0,47081.0,2,2,1-0-0
90,0001_003_02_06_1,https://www.youtube.com/watch?v=Rni88PI1OBI,48517.0,48592.0,1,2,0-0-1
91,0001_003_04_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,54859.0,54934.0,2,2,0-0-1
92,0001_003_04_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,55251.0,55326.0,2,2,0-0-1
93,0001_003_05_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,60014.0,60089.0,2,2,1-0-0
94,0001_003_07_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,68194.0,68269.0,2,1,1-0-0
95,0001_003_07_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,71075.0,71150.0,2,2,0-0-1
96,0001_003_09_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,182188.0,182263.0,2,2,1-0-0
97,0001_003_10_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,191654.0,191729.0,2,2,0-0-1
98,0001_003_10_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,201802.0,201877.0,2,2,1-0-0
99,0001_003_11_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,206969.0,207044.0,2,2,1-0-0
100,0001_003_11_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,207252.0,207327.0,2,2,0-1-0
101,0001_003_11_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,208712.0,208787.0,2,2,1-0-0
102,0001_003_11_04_1,https://www.youtube.com/watch?v=Rni88PI1OBI,209852.0,209927.0,2,2,1-0-0
103,0001_003_11_05_1,https://www.youtube.com/watch?v=Rni88PI1OBI,210198.0,210273.0,2,2,0-0-1
104,0001_003_12_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,214291.0,214366.0,2,2,0-0-1
105,0001_003_12_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,215157.0,215232.0,2,2,0-0-1
106,0001_003_14_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,233272.0,233347.0,2,2,0-1-0
107,0001_003_15_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,238942.0,239017.0,2,2,0-0-1
108,0001_003_15_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,242760.0,242835.0,2,2,0-0-1
109,0001_003_16_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,290726.0,290801.0,2,2,0-1-0
110,0001_003_17_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,313446.0,313521.0,1,2,0-0-1
111,0001_003_17_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,318616.0,318691.0,2,2,0-0-1
112,0001_003_17_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,323385.0,323460.0,1,2,0-0-1
113,0001_003_18_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,329024.0,329099.0,2,2,1-0-0
114,0001_003_19_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,337308.0,337383.0,1,2,0-0-1
115,0001_003_19_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,337734.0,337809.0,2,2,1-0-0
116,0001_003_19_04_1,https://www.youtube.com/watch?v=Rni88PI1OBI,340108.0,340183.0,2,1,1-0-0
117,0001_003_19_05_1,https://www.youtube.com/watch?v=Rni88PI1OBI,340948.0,341023.0,2,2,1-0-0
118,0001_003_22_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,380099.0,380174.0,1,2,0-0-1
119,0001_003_23_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,450948.0,451023.0,2,2,1-0-0
120,0001_003_24_04_1,https://www.youtube.com/watch?v=Rni88PI1OBI,459786.0,459861.0,2,2,0-0-1
121,0001_003_24_05_1,https://www.youtube.com/watch?v=Rni88PI1OBI,460776.0,460851.0,2,2,1-0-0
122,0001_003_25_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,463996.0,464071.0,2,2,1-0-0
123,0001_003_25_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,465147.0,465222.0,2,2,1-0-0
124,0001_003_26_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,467610.0,467685.0,2,2,1-0-0
125,0001_003_26_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,467939.0,468014.0,2,2,0-0-1
126,0001_003_27_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,481416.0,481491.0,2,2,0-0-1
127,0001_003_28_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,493307.0,493382.0,2,2,1-0-0
128,0001_003_29_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,499243.0,499318.0,2,2,0-0-1
129,0001_003_30_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,502469.0,502544.0,2,2,1-0-0
130,0001_003_31_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,508401.0,508476.0,2,2,1-0-0
131,0001_003_31_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,509061.0,509136.0,1,2,0-0-1
132,0001_003_31_04_1,https://www.youtube.com/watch?v=Rni88PI1OBI,512038.0,512113.0,2,2,0-0-1
133,0001_003_32_01_1,https://www.youtube.com/watch?v=Rni88PI1OBI,514451.0,514526.0,2,2,1-0-0
134,0001_003_32_02_1,https://www.youtube.com/watch?v=Rni88PI1OBI,518020.0,518095.0,2,2,0-0-1
135,0001_003_32_03_1,https://www.youtube.com/watch?v=Rni88PI1OBI,519672.0,519747.0,2,2,1-0-0
136,0001_004_01_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,26688.0,26763.0,2,2,1-0-0
137,0001_004_01_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,30245.0,30320.0,1,2,0-0-1
138,0001_004_01_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,32625.0,32700.0,2,1,1-0-0
139,0001_004_02_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,34668.0,34743.0,2,2,0-0-1
140,0001_004_02_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,36144.0,36219.0,2,2,0-0-1
141,0001_004_02_04_1,https://www.youtube.com/watch?v=CrEjuLwobYY,36945.0,37020.0,1,2,0-0-1
142,0001_004_03_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,42101.0,42176.0,2,2,0-1-0
143,0001_004_03_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,42598.0,42673.0,2,2,1-0-0
144,0001_004_03_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,44194.0,44269.0,2,2,0-0-1
145,0001_004_04_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,52433.0,52508.0,1,2,0-0-1
146,0001_004_05_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,61464.0,61539.0,2,2,0-0-1
147,0001_004_06_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,66510.0,66585.0,2,2,0-0-1
148,0001_004_06_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,68184.0,68259.0,2,2,0-0-1
149,0001_004_07_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,77638.0,77713.0,1,2,0-0-1
150,0001_004_08_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,80848.0,80923.0,2,2,0-0-1
151,0001_004_10_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,443463.0,443538.0,2,2,1-0-0
152,0001_004_10_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,446423.0,446498.0,2,1,1-0-0
153,0001_004_10_05_1,https://www.youtube.com/watch?v=CrEjuLwobYY,447337.0,447412.0,2,1,1-0-0
154,0001_004_11_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,452097.0,452172.0,2,2,0-0-1
155,0001_004_12_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,455835.0,455910.0,2,2,1-0-0
156,0001_004_12_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,456061.0,456136.0,2,2,0-0-1
157,0001_004_12_04_1,https://www.youtube.com/watch?v=CrEjuLwobYY,456295.0,456370.0,2,2,1-0-0
158,0001_004_12_05_1,https://www.youtube.com/watch?v=CrEjuLwobYY,456717.0,456792.0,2,2,1-0-0
159,0001_004_13_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,462826.0,462901.0,2,2,0-0-1
160,0001_004_13_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,464766.0,464841.0,2,2,1-0-0
161,0001_004_13_04_1,https://www.youtube.com/watch?v=CrEjuLwobYY,465791.0,465866.0,2,2,0-0-1
162,0001_004_13_05_1,https://www.youtube.com/watch?v=CrEjuLwobYY,466509.0,466584.0,2,2,1-0-0
163,0001_004_13_06_1,https://www.youtube.com/watch?v=CrEjuLwobYY,467388.0,467463.0,2,1,1-0-0
164,0001_004_14_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,469549.0,469624.0,2,1,1-0-0
165,0001_004_14_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,471452.0,471527.0,2,2,0-0-1
166,0001_004_14_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,471933.0,472008.0,2,2,0-0-1
167,0001_004_15_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,476482.0,476557.0,2,2,0-1-0
168,0001_004_15_02_1,https://www.youtube.com/watch?v=CrEjuLwobYY,477525.0,477600.0,2,2,1-0-0
169,0001_004_15_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,477750.0,477825.0,2,2,1-0-0
170,0001_004_15_04_1,https://www.youtube.com/watch?v=CrEjuLwobYY,481008.0,481083.0,2,2,0-0-1
171,0001_004_16_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,490434.0,490509.0,2,2,1-0-0
172,0001_004_17_01_1,https://www.youtube.com/watch?v=CrEjuLwobYY,499149.0,499224.0,1,2,0-0-1
173,0001_004_17_03_1,https://www.youtube.com/watch?v=CrEjuLwobYY,501005.0,501080.0,2,2,0-0-1
174,0001_004_17_04_1,https://www.youtube.com/watch?v=CrEjuLwobYY,501637.0,501712.0,2,2,0-0-1
175,0001_004_17_06_1,https://www.youtube.com/watch?v=CrEjuLwobYY,505320.0,505395.0,2,2,0-0-1
176,0001_005_00_01_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,14915.0,14990.0,2,2,1-0-0
177,0001_005_01_01_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,21868.0,21943.0,2,1,1-0-0
178,0001_005_01_02_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,22589.0,22664.0,2,2,1-0-0
179,0001_005_01_03_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,26009.0,26084.0,2,1,1-0-0
180,0001_005_02_01_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,31193.0,31268.0,2,2,1-0-0
181,0001_005_02_02_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,31999.0,32074.0,2,2,1-0-0
182,0001_005_03_01_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,35306.0,35381.0,2,2,1-0-0
183,0001_005_03_02_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,39162.0,39237.0,2,2,0-0-1
184,0001_005_04_01_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,44340.0,44415.0,2,2,0-0-1
185,0001_005_04_02_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,44579.0,44654.0,2,2,1-0-0
186,0001_005_04_03_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,44869.0,44944.0,2,2,1-0-0
187,0001_005_05_02_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,57731.0,57806.0,2,2,1-0-0
188,0001_005_06_01_1,https://www.youtube.com/watch?v=yW2GSUk2q2M,71234.0,71309.0,2,1,1-0-0
189,0003_001_00_01_1,https://www.youtube.com/watch?v=FchOD_t8nVI&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=5,4698.0,4773.0,2,2,0-0-1
190,0003_001_00_02_1,https://www.youtube.com/watch?v=FchOD_t8nVI&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=5,15466.0,15541.0,2,2,1-0-0
191,0003_001_00_03_1,https://www.youtube.com/watch?v=FchOD_t8nVI&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=5,26535.0,26610.0,2,2,1-0-0
192,0003_001_00_04_1,https://www.youtube.com/watch?v=FchOD_t8nVI&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=5,27492.0,27567.0,2,2,0-0-1
193,0003_002_00_01_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,3675.0,3750.0,2,2,0-0-1
194,0003_002_00_03_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,6372.0,6447.0,2,2,0-1-0
195,0003_002_00_04_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,6557.0,6632.0,2,2,0-0-1
196,0003_002_00_05_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,6836.0,6911.0,2,2,0-0-1
197,0003_002_00_07_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,8456.0,8531.0,2,2,0-0-1
198,0003_002_00_08_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,13125.0,13200.0,2,2,0-0-1
199,0003_002_00_09_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,17265.0,17340.0,2,2,1-0-0
200,0003_002_00_10_1,https://www.youtube.com/watch?v=bMNPqaDgn5A&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=6,19119.0,19194.0,2,2,0-0-1
201,0003_003_00_01_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,1329.0,1404.0,2,2,1-0-0
202,0003_003_00_02_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,5718.0,5793.0,2,2,1-0-0
203,0003_003_00_03_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,7272.0,7347.0,2,2,1-0-0
204,0003_003_00_04_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,9073.0,9148.0,2,2,1-0-0
205,0003_003_00_05_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,13626.0,13701.0,2,1,1-0-0
206,0003_003_00_06_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,14656.0,14731.0,1,2,0-0-1
207,0003_003_00_07_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,15848.0,15923.0,2,1,1-0-0
208,0003_003_00_08_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,17340.0,17415.0,2,2,0-0-1
209,0003_003_00_09_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,19165.0,19240.0,2,2,0-0-1
210,0003_003_00_10_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,19434.0,19509.0,2,2,1-0-0
211,0003_003_00_11_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,20902.0,20977.0,2,2,0-0-1
212,0003_003_00_12_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,26081.0,26156.0,2,1,1-0-0
213,0003_003_00_13_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,29996.0,30071.0,2,2,1-0-0
214,0003_003_00_14_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,31511.0,31586.0,2,2,1-0-0
215,0003_003_00_15_1,https://www.youtube.com/watch?v=7SZPvO3R5tc&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=7,31991.0,32066.0,2,1,1-0-0
216,0003_004_00_01_1,https://www.youtube.com/watch?v=Cz9nuqQ592k&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=8,5654.0,5729.0,2,2,0-0-1
217,0003_004_00_02_1,https://www.youtube.com/watch?v=Cz9nuqQ592k&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=8,12524.0,12599.0,2,2,0-0-1
218,0003_004_00_03_1,https://www.youtube.com/watch?v=Cz9nuqQ592k&list=PL_pQQho0KExzVy3k10qRjSnvStI3A7UJX&index=8,13502.0,13577.0,2,2,0-0-1
